z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty
0,1,1n,0,608.9,s,0.3
1,0,1H,0,STABLE,,
1,1,2H,0,STABLE,,
1,2,3H,0,12.3221,y,0.0106
1,3,4H,0,3.3,MeV,0.3
1,4,5H,0,5.3,MeV,0.4
1,5,6H,0,1.5,MeV,0.3
1,6,7H,0,0.18,MeV,+0.47-0.13
2,1,3He,0,STABLE,,
2,2,4He,0,STABLE,,
2,3,5He,0,719,keV,48
2,4,6He,0,807.12,ms,0.17
2,5,7He,0,195,keV,4
2,6,8He,0,119,ms,1.6
2,7,9He,0,180,keV,100
2,8,10He,0,1.8,MeV,0.3
3,1,4Li,0,5,MeV,0.5
3,2,5Li,0,1.23,MeV,0.0
3,3,6Li,0,STABLE,,
3,4,7Li,0,STABLE,,
3,5,8Li,0,838.79,ms,0.35
3,6,9Li,0,178,ms,0.3
3,7,10Li,0,,MeV,&le;0.23
3,8,11Li,0,8.75,ms,0.1
3,9,12Li,0,STABLE,,
3,10,13Li,0,125,keV,+60-40
4,2,6Be,0,92,keV,6
4,3,7Be,0,53.3,d,0.1
4,4,8Be,0,5.57,eV,0.25
4,5,9Be,0,STABLE,,
4,6,10Be,0,1.39e+06,y,1.16e+04
4,7,11Be,0,13.77,s,0.07
4,8,12Be,0,21.46,ms,0.05
4,9,13Be,0,450,keV,30
4,11,15Be,0,580,keV,200
4,12,16Be,0,0.8,MeV,+0.1-0.2
4,10,14Be,0,4.65,ms,0.12
5,12,17B,0,5.07,ms,0.05
5,13,18B,0,STABLE,,
5,14,19B,0,2.92,ms,0.13
5,15,20B,0,,keV,&le;500
5,16,21B,0,,keV,&le;600
5,10,15B,0,10.18,ms,0.35
5,11,16B,0,&lt;100,keV,
5,2,7B,0,801,keV,20
5,3,8B,0,772.1,ms,1.1
5,4,9B,0,540,eV,210
5,5,10B,0,STABLE,,
5,6,11B,0,STABLE,,
5,7,12B,0,20.22,ms,0.04
5,8,13B,0,17.16,ms,0.18
5,9,14B,0,12.34,ms,0.27
6,2,8C,0,130,keV,50
6,3,9C,0,126.5,ms,0.9
6,4,10C,0,19.3015,s,0.0018
6,5,11C,0,20.3401,m,0.0041
6,6,12C,0,STABLE,,
6,7,13C,0,STABLE,,
6,8,14C,0,5686,y,22
6,9,15C,0,2.451,s,0.004
6,14,20C,0,16,ms,3.0
6,13,19C,0,46.3,ms,2.3
6,16,22C,0,6.1,ms,+1.4-1.2
6,10,16C,0,750,ms,5
6,12,18C,0,92,ms,2
6,11,17C,0,193,ms,5
7,15,22N,0,20.9,ms,2.1
7,14,21N,0,85.3,ms,4.5
7,17,24N,0,&lt;52,ns,
7,16,23N,0,14.1,ms,+1.2-1.5
7,11,18N,0,619,ms,2
7,10,17N,0,4.171,s,0.003
7,13,20N,0,136,ms,3
7,12,19N,0,336,ms,3
7,3,10N,0,2.5,MeV,+2-1.5
7,4,11N,0,780,keV,10
7,5,12N,0,10.996,ms,0.015
7,6,13N,0,9.967,m,0.004
7,7,14N,0,STABLE,,
7,8,15N,0,STABLE,,
7,9,16N,0,7.13,s,0.01
8,17,25O,0,88,keV,6
8,18,26O,0,0.0045,ns,+0.0032-0.0034
8,15,23O,0,96,ms,8
8,16,24O,0,72,ms,4
8,10,18O,0,STABLE,,
8,13,21O,0,3.42,s,0.1
8,14,22O,0,2.19,s,0.16
8,11,19O,0,26.47,s,0.006
8,12,20O,0,13.51,s,0.04
8,20,28O,0+X,&lt;100,ns,
8,3,11O,0,2.31,MeV,0.14
8,4,12O,0,51,keV,19
8,5,13O,0,8.58,ms,0.07
8,6,14O,0,70.6183,s,0.0074
8,7,15O,0,122.268,s,0.043
8,8,16O,0,STABLE,,
8,9,17O,0,STABLE,,
9,18,27F,0,5.3,ms,0.3
9,19,28F,0,180,keV,40
9,16,25F,0,81,ms,10
9,17,26F,0,8.6,ms,0.7
9,17,26F,0.6434,2.2,ms,0.1
9,10,19F,0,STABLE,,
9,11,20F,0,11.0064,s,0.0081
9,14,23F,0,2.23,s,0.14
9,15,24F,0,384,ms,15
9,12,21F,0,4.158,s,0.02
9,13,22F,0,4.23,s,0.04
9,21,30F,0,&lt;250,ns,
9,22,31F,0,STABLE,,
9,20,29F,0,3.3,ms,0.4
9,5,14F,0,910,keV,100
9,6,15F,0,0.38,MeV,0.21
9,7,16F,0,23.1,keV,3.8
9,8,17F,0,64.368,s,0.025
9,9,18F,0,109.734,m,0.008
10,10,20Ne,0,STABLE,,
10,11,21Ne,0,STABLE,,
10,12,22Ne,0,STABLE,,
10,13,23Ne,0,37.148,s,0.032
10,14,24Ne,0,3.38,m,0.02
10,15,25Ne,0,602,ms,8
10,16,26Ne,0,196,ms,2
10,17,27Ne,0,30.9,ms,1.1
10,18,28Ne,0,18.7,ms,0.2
10,19,29Ne,0,14,ms,0.5
10,20,30Ne,0,7.3,ms,0.3
10,21,31Ne,0,3.4,ms,0.8
10,22,32Ne,0,4.5,ms,0.7
10,23,33Ne,0,&lt;180,ns,
10,24,34Ne,0,STABLE,,
10,9,19Ne,0,17.2569,s,0.0019
10,7,17Ne,0,109.1,ms,0.5
10,8,18Ne,0,1.66432,s,+0.00056-0.00055
10,5,15Ne,0,0.59,MeV,0.23
10,6,16Ne,0,&lt;80,keV,
11,9,20Na,0,448,ms,2
11,8,19Na,0,&lt;40,keV,
11,7,18Na,0,,MeV,&le;0.2
11,6,17Na,0,STABLE,,
11,21,32Na,0,13.2,ms,0.3
11,20,31Na,0,17,ms,0.2
11,23,34Na,0,5.5,ms,1.0
11,22,33Na,0,8.2,ms,0.2
11,24,35Na,0,2.4,ms,0.4
11,26,37Na,0,STABLE,,
11,10,21Na,0,22.4548,s,0.0053
11,12,23Na,0,STABLE,,
11,11,22Na,0,2.6019,y,0.0005
11,14,25Na,0,58.9,s,0.6
11,13,24Na,0,14.9578,h,0.0011
11,16,27Na,0,301,ms,5
11,15,26Na,0,1.07128,s,0.00025
11,18,29Na,0,43.2,ms,0.4
11,17,28Na,0,34.6,ms,1.0
11,19,30Na,0,44.8,ms,1.2
12,11,23Mg,0,11.3042,s,0.0035
12,10,22Mg,0,3.87445,s,0.00069
12,13,25Mg,0,STABLE,,
12,12,24Mg,0,STABLE,,
12,15,27Mg,0,9.435,m,0.027
12,14,26Mg,0,STABLE,,
12,17,29Mg,0,1.31,s,0.13
12,16,28Mg,0,20.915,h,0.009
12,19,31Mg,0,270,ms,2
12,18,30Mg,0,314,ms,5
12,20,32Mg,0,80.4,ms,0.4
12,22,34Mg,0,44.9,ms,0.4
12,21,33Mg,0,90.2,ms,0.9
12,24,36Mg,0,7.2,ms,1.2
12,23,35Mg,0,11.3,ms,0.6
12,26,38Mg,0,3.1,ms,0.5
12,25,37Mg,0,6.4,ms,1.5
12,28,40Mg,0,STABLE,,
12,9,21Mg,0,120,ms,0.8
12,8,20Mg,0,90.4,ms,0.8
12,7,19Mg,0,3500,fs,2800
12,6,18Mg,0,115,keV,100
13,9,22Al,0,88.6,ms,2.5
13,8,21Al,0,&lt;35,ns,
13,22,35Al,0,38.4,ms,0.3
13,23,36Al,0,90,ms,40
13,20,33Al,0,41.5,ms,0.1
13,21,34Al,0,53.73,ms,0.13
13,21,34Al,0.04647,22.1,ms,0.2
13,26,39Al,0,7.23,ms,0.3
13,27,40Al,0,5.7,ms,0.4
13,24,37Al,0,11.4,ms,0.3
13,25,38Al,0,9,ms,0.7
13,28,41Al,0,3.5,ms,0.9
13,29,42Al,0,STABLE,,
13,30,43Al,0,STABLE,,
13,11,24Al,0,2.053,s,0.004
13,11,24Al,0.4258,130.7,ms,1.1
13,12,25Al,0,7.1666,s,0.0025
13,10,23Al,0,447,ms,36
13,15,28Al,0,2.2483,m,0.0009
13,16,29Al,0,6.56,m,0.06
13,13,26Al,0,7.17e+05,y,1.71e+04
13,13,26Al,0.228305,6.34603,s,0.00054
13,14,27Al,0,STABLE,,
13,19,32Al,0,31.7,ms,0.3
13,17,30Al,0,3.61,s,0.04
13,18,31Al,0,0.644,s,0.025
14,30,44Si,0,STABLE,,
14,12,26Si,0,2.2452,s,0.0009
14,13,27Si,0,4.111,s,0.002
14,10,24Si,0,141.4,ms,1.2
14,11,25Si,0,219.2,ms,+1.3-1.1
14,16,30Si,0,STABLE,,
14,17,31Si,0,157.24,m,0.16
14,14,28Si,0,STABLE,,
14,15,29Si,0,STABLE,,
14,18,32Si,0,163.3,y,6.2
14,19,33Si,0,6.17,s,0.17
14,23,37Si,0,141,ms,5
14,24,38Si,0,63,ms,8
14,21,35Si,0,0.78,s,0.12
14,22,36Si,0,503,ms,2
14,27,41Si,0,20,ms,2.5
14,28,42Si,0,15,ms,1.4
14,25,39Si,0,38.7,ms,1.2
14,26,40Si,0,30.3,ms,2.7
14,20,34Si,0,2.77,s,0.2
14,29,43Si,0,13,ms,5
14,9,23Si,0,47,ms,1
14,8,22Si,0,28.4,ms,1.1
15,25,40P,0,150,ms,8
15,24,39P,0,204,ms,39
15,23,38P,0,640,ms,140
15,22,37P,0,2.31,s,0.13
15,29,44P,0,18.2,ms,0.8
15,28,43P,0,36.5,ms,1.5
15,27,42P,0,48.5,ms,1.5
15,26,41P,0,101,ms,5
15,21,36P,0,5.6,s,0.3
15,20,35P,0,47.3,s,0.7
15,32,47P,0,STABLE,,
15,31,46P,0,STABLE,,
15,30,45P,0,24,ms,11
15,14,29P,0,4.1022,s,0.0056
15,13,28P,0,270.3,ms,0.5
15,12,27P,0,260,ms,80
15,11,26P,0,43.6,ms,0.3
15,18,33P,0,25.35,d,0.11
15,17,32P,0,14.267,d,0.006
15,16,31P,0,STABLE,,
15,15,30P,0,2.5,m,0.002
15,10,25P,0,&lt;30,ns,
15,19,34P,0,12.43,s,0.08
16,33,49S,0,STABLE,,
16,32,48S,0,STABLE,,
16,31,47S,0,STABLE,,
16,30,46S,0,50,ms,8
16,15,31S,0,2.5534,s,0.0018
16,14,30S,0,1.17976,s,0.00055
16,13,29S,0,188,ms,4
16,12,28S,0,125,ms,10
16,19,35S,0,87.35,d,0.07
16,18,34S,0,STABLE,,
16,17,33S,0,STABLE,,
16,16,32S,0,STABLE,,
16,11,27S,0,16.3,ms,0.2
16,10,26S,0,&lt;79,ns,
16,26,42S,0,1.016,s,0.013
16,25,41S,0,2.6,s,1.4
16,24,40S,0,8.8,s,2.2
16,23,39S,0,11.5,s,0.5
16,29,45S,0,68,ms,2
16,28,44S,0,124.5,ms,2.3
16,27,43S,0,265,ms,13
16,22,38S,0,170.3,m,0.7
16,21,37S,0,5.05,m,0.02
16,20,36S,0,STABLE,,
17,28,45Cl,0,413,ms,25
17,29,46Cl,0,232,ms,2
17,24,41Cl,0,38.4,s,0.8
17,25,42Cl,0,6.8,s,0.3
17,26,43Cl,0,3.13,s,0.09
17,27,44Cl,0,542,ms,108
17,20,37Cl,0,STABLE,,
17,21,38Cl,0,37.236,m,0.012
17,21,38Cl,0.671365,715,ms,3
17,22,39Cl,0,56.2,m,0.6
17,23,40Cl,0,1.33,m,0.03
17,35,52Cl,0,STABLE,,
17,31,48Cl,0,STABLE,,
17,32,49Cl,0,STABLE,,
17,33,50Cl,0,STABLE,,
17,34,51Cl,0,STABLE,,
17,30,47Cl,0,101,ms,6
17,17,34Cl,0,1.5265,s,0.0004
17,17,34Cl,0.14636000000000002,31.99,m,0.03
17,18,35Cl,0,STABLE,,
17,19,36Cl,0,3.01e+05,y,1.50e+03
17,13,30Cl,0,&lt;30,ns,
17,14,31Cl,0,190,ms,1
17,15,32Cl,0,299.1,ms,1.0
17,16,33Cl,0,2.506,s,0.0022
17,11,28Cl,0,STABLE,,
17,12,29Cl,0,&lt;20,ns,
18,36,54Ar,0,STABLE,,
18,32,50Ar,0,105,ms,6
18,33,51Ar,0,STABLE,,
18,34,52Ar,0,STABLE,,
18,35,53Ar,0,STABLE,,
18,30,48Ar,0,416,ms,16
18,31,49Ar,0,236,ms,8
18,18,36Ar,0,STABLE,,
18,19,37Ar,0,35.01,d,0.02
18,14,32Ar,0,98,ms,2
18,15,33Ar,0,173,ms,2
18,16,34Ar,0,846.46,ms,0.35
18,17,35Ar,0,1.7754,s,0.001
18,11,29Ar,0,STABLE,,
18,12,30Ar,0,&lt;10,ps,
18,13,31Ar,0,15,ms,0.3
18,29,47Ar,0,1.23,s,0.03
18,25,43Ar,0,5.37,m,0.06
18,26,44Ar,0,11.87,m,0.05
18,27,45Ar,0,21.48,s,0.15
18,28,46Ar,0,8.4,s,0.5
18,21,39Ar,0,268,y,8
18,22,40Ar,0,STABLE,,
18,23,41Ar,0,109.61,m,0.04
18,24,42Ar,0,32.9,y,1.1
18,20,38Ar,0,STABLE,,
19,40,59K,0,STABLE,,
19,27,46K,0,96.31,s,0.078
19,26,45K,0,17.79,m,0.43
19,29,48K,0,6.8,s,0.2
19,28,47K,0,17.38,s,0.03
19,23,42K,0,12.359,h,0.004
19,22,41K,0,STABLE,,
19,25,44K,0,22.13,m,0.19
19,24,43K,0,22.28,h,0.11
19,21,40K,0,1.25e+09,y,3.00e+06
19,20,39K,0,STABLE,,
19,38,57K,0,STABLE,,
19,37,56K,0,STABLE,,
19,34,53K,0,30,ms,5
19,33,52K,0,110,ms,4
19,36,55K,0,STABLE,,
19,35,54K,0,10,ms,5
19,30,49K,0,1.26,s,0.05
19,32,51K,0,365,ms,5
19,31,50K,0,472,ms,4
19,19,38K,0,7.645,m,0.02
19,19,38K,0.13022,924.4,ms,0.21
19,16,35K,0,178,ms,8
19,18,37K,0,1.23647,s,0.00041
19,17,36K,0,341,ms,3
19,12,31K,0,&lt;0.01,ns,
20,39,59Ca,0,STABLE,,
20,38,58Ca,0,STABLE,,
20,37,57Ca,0,STABLE,,
20,36,56Ca,0,11,ms,2
20,35,55Ca,0,22,ms,2
20,34,54Ca,0,90,ms,8
20,33,53Ca,0,461,ms,90
20,32,52Ca,0,4.6,s,0.3
20,31,51Ca,0,10,s,0.8
20,30,50Ca,0,13.45,s,0.07
20,40,60Ca,0,STABLE,,
20,19,39Ca,0,860.3,ms,0.8
20,18,38Ca,0,443.77,ms,0.25
20,17,37Ca,0,181,ms,0.9
20,16,36Ca,0,100.8,ms,1.3
20,15,35Ca,0,25.7,ms,0.2
20,29,49Ca,0,8.718,m,0.006
20,28,48Ca,0,5.60e+19,y,1.40e+19-1.10e+19
20,27,47Ca,0,4.536,d,0.002
20,26,46Ca,0,STABLE,,
20,25,45Ca,0,162.61,d,0.09
20,24,44Ca,0,STABLE,,
20,23,43Ca,0,STABLE,,
20,22,42Ca,0,STABLE,,
20,21,41Ca,0,9.94e+04,y,1.50e+03
20,20,40Ca,0,STABLE,,
21,29,50Sc,0,102.5,s,0.5
21,29,50Sc,0.256895,0.35,s,0.03
21,28,49Sc,0,57.2,m,0.15
21,27,48Sc,0,43.71,h,0.08
21,26,47Sc,0,3.3491,d,0.0006
21,25,46Sc,0,83.808,d,0.029
21,25,46Sc,0.142528,18.746,s,0.04
21,24,45Sc,0,STABLE,,
21,24,45Sc,0.012400000000000001,325.8,ms,4.2
21,23,44Sc,0,4.042,h,0.0024
21,23,44Sc,0.27124000000000004,58.62,h,0.09
21,22,43Sc,0,3.891,h,0.012
21,21,42Sc,0,680.79,ms,0.28
21,21,42Sc,0.616771,61.7,s,0.3
21,20,41Sc,0,596.3,ms,1.7
21,39,60Sc,0,STABLE,,
21,38,59Sc,0,STABLE,,
21,37,58Sc,0,12,ms,5
21,36,57Sc,0,20,ms,4
21,35,56Sc,0,26,ms,6
21,34,55Sc,0,92,ms,4
21,33,54Sc,0,526,ms,15
21,32,53Sc,0,2.4,s,0.6
21,31,52Sc,0,8.2,s,0.2
21,30,51Sc,0,12.5,s,0.1
21,19,40Sc,0,182.4,ms,0.8
21,18,39Sc,0,STABLE,,
21,41,62Sc,0,STABLE,,
21,40,61Sc,0,STABLE,,
22,39,61Ti,0,15,ms,4
22,38,60Ti,0,22.2,ms,1.6
22,37,59Ti,0,28.5,ms,1.9
22,36,58Ti,0,55,ms,6
22,35,57Ti,0,94,ms,8
22,34,56Ti,0,199,ms,6
22,33,55Ti,0,1.3,s,0.1
22,32,54Ti,0,1.6,s,0.4
22,31,53Ti,0,32.7,s,0.9
22,30,52Ti,0,1.7,m,0.1
22,42,64Ti,0,STABLE,,
22,41,63Ti,0,STABLE,,
22,40,62Ti,0,STABLE,,
22,19,41Ti,0,81.9,ms,0.5
22,18,40Ti,0,52.4,ms,0.3
22,17,39Ti,0,28.5,ms,0.9
22,29,51Ti,0,5.756,m,0.009
22,28,50Ti,0,STABLE,,
22,27,49Ti,0,STABLE,,
22,26,48Ti,0,STABLE,,
22,25,47Ti,0,STABLE,,
22,24,46Ti,0,STABLE,,
22,23,45Ti,0,184.8,m,0.5
22,22,44Ti,0,59.1,y,0.3
22,21,43Ti,0,509,ms,5
22,20,42Ti,0,208.34,ms,0.57
23,41,64V,0,15,ms,2
